metric,estimate,ci_lower,ci_upper,repeats
accuracy,0.5,0.0,1.0,2000
balanced_accuracy,0.5,0.0,1.0,2000
macro_f1,0.3333333333333333,0.0,1.0,2000
auroc,0.0,0.0,0.0,2000
success_auprc,0.5,0.5,1.0,2000
failure_auprc,0.5,0.5,1.0,2000
success_precision,0.0,0.0,0.0,2000
success_recall,0.0,0.0,0.0,2000
failure_precision,0.5,0.0,1.0,2000
failure_recall,1.0,0.0,1.0,2000
brier,0.2571553277402949,0.20061251204566677,0.3136981434349231,2000
ece,0.05609486997127533,0.05609486997127533,0.5600876212120056,2000
