"center","n_patients","patient_macro_f1","patient_macro_ez_f1","patient_macro_auprc_ez","patient_macro_ez_mrr","top1_is_ez_rate"
"hup","36","0.699280376758864","0.5104886031637574","0.5640095815117481","0.796792328042328","0.6944444444444444"
"lzu","28","0.5765112665836984","0.4676650570845659","0.49795422891039604","0.6792778649921507","0.5357142857142857"
"multicenter","15","0.6922317051347628","0.49143634143634146","0.546648446540883","0.6841830065359477","0.5333333333333333"
"pediatric","11","0.5761316843226241","0.3416936890810483","0.4291550804882057","0.5835258426580038","0.5454545454545454"
