config,score_name,score_variant,gamma,fusion_space,fold_idx,patient_macro_f1,patient_macro_ez_f1,patient_macro_auprc_ez,patient_macro_ez_mrr,top1_is_ez_rate,n_patients
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.10,0.1,score,5,0.7123527801942608,0.5836383531007301,0.634568701382221,0.7817540001274941,0.7222222222222222,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.15,0.15,score,1,0.6239502419045044,0.46194935421530187,0.5213667670619513,0.6599783293932231,0.5,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.15,0.15,score,2,0.6154476931471893,0.3742706237664103,0.4313823444038588,0.5843231162196679,0.3888888888888889,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.15,0.15,score,3,0.6652019346204018,0.47228533349638124,0.5336596659961699,0.7172302737520129,0.6111111111111112,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.15,0.15,score,4,0.6077898257276274,0.4793021180532669,0.5285978977114231,0.7553240740740741,0.6666666666666666,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.15,0.15,score,5,0.7123527801942608,0.5836383531007301,0.6344122888971531,0.7817540001274941,0.7222222222222222,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.05,-0.05,score,1,0.625084690547123,0.4624610066877386,0.5168830774778,0.6534968479117416,0.5,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.05,-0.05,score,2,0.6202700197177872,0.3814627582440995,0.43054871610928286,0.6167305236270754,0.4444444444444444,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.05,-0.05,score,3,0.6602668879396246,0.46504910567191815,0.5327369388043675,0.7200080515297906,0.6111111111111112,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.05,-0.05,score,4,0.6056930871603675,0.477102342030462,0.5276026004028268,0.7462962962962963,0.6666666666666666,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.05,-0.05,score,5,0.698915920837832,0.5576768905721035,0.625772752036156,0.7863836297571237,0.7222222222222222,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.10,-0.1,score,1,0.625084690547123,0.4624610066877386,0.5156512417706249,0.6507190701339637,0.5,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.10,-0.1,score,2,0.6075228902698381,0.3597034989848402,0.41936695788478934,0.6185823754789272,0.4444444444444444,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.10,-0.1,score,3,0.6630257688587936,0.4689477411495009,0.5319810208506252,0.7200080515297906,0.6111111111111112,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.10,-0.1,score,4,0.6056930871603675,0.477102342030462,0.5273734783438402,0.7462962962962963,0.6666666666666666,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.10,-0.1,score,5,0.698915920837832,0.5576768905721035,0.6274443324253324,0.8141614075349015,0.7777777777777778,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.20,-0.2,score,1,0.6261573479039333,0.46369557458897315,0.5149762135308739,0.6534968479117416,0.5,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.20,-0.2,score,2,0.6195909979017771,0.3826540409902603,0.41805103413716815,0.6130268199233717,0.4444444444444444,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.20,-0.2,score,3,0.6660923236476466,0.47469061354242315,0.5281884568267359,0.7001667816885209,0.5555555555555556,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.20,-0.2,score,4,0.6038744632972439,0.4702159714200957,0.5269544297550348,0.7439814814814815,0.6666666666666666,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.20,-0.2,score,5,0.700817375864287,0.560322393217606,0.6273775578022346,0.8141614075349015,0.7777777777777778,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_core,score_core,,score,1,0.6104763943669859,0.44793838867342956,0.5135794247705301,0.6283643000697263,0.5,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_core,score_core,,score,2,0.6204833133089283,0.3777435589825306,0.4377531181553146,0.6381687242798354,0.5,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_core,score_core,,score,3,0.6643615206985927,0.4640814261764494,0.5289720053252853,0.7852513227513227,0.7222222222222222,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_core,score_core,,score,4,0.6050538535924587,0.4737680539987095,0.5140463181894589,0.6506445170660857,0.5,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_core,score_core,,score,5,0.7145067868430381,0.5855801366946355,0.6201584845337506,0.778673835125448,0.7222222222222222,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_eval,score_eval,,score,1,0.6205967281343239,0.45577651470912905,0.5172263549489927,0.6257190701339638,0.4444444444444444,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_eval,score_eval,,score,2,0.6154476931471893,0.3742706237664103,0.4310886108012037,0.5843231162196679,0.3888888888888889,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_eval,score_eval,,score,3,0.6652019346204018,0.47228533349638124,0.5323992874916559,0.7200080515297906,0.6111111111111112,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_eval,score_eval,,score,4,0.6063596537651567,0.4776503333730269,0.528160440887032,0.7509259259259259,0.6666666666666666,18
A9v8_LCBO_stage1b_gamma010_mrr_all90_posEZ,score_eval,score_eval,,score,5,0.7123527801942608,0.5836383531007301,0.6352216387296153,0.7910132593867534,0.7222222222222222,18
