config,score_name,score_variant,gamma,fusion_space,center,patient_macro_f1,patient_macro_ez_f1,patient_macro_auprc_ez,patient_macro_ez_mrr,top1_is_ez_rate,n_patients
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad,score_broad,,score,hup,0.7052796991301857,0.5186528413632595,0.57108018622881,0.7706018518518518,0.6111111111111112,36
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad,score_broad,,score,lzu,0.5771309222258418,0.466865668826042,0.49559861857844323,0.6242772108843537,0.5,28
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad,score_broad,,score,multicenter,0.6733081015752961,0.4542168942168942,0.518258802167873,0.6677777777777777,0.5333333333333333,15
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad,score_broad,,score,pediatric,0.5912508829377241,0.36030416357387574,0.43502149287328834,0.588445863883766,0.5454545454545454,11
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,hup,0.7052796991301857,0.5186528413632595,0.57108018622881,0.7706018518518518,0.6111111111111112,36
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,lzu,0.5771309222258418,0.466865668826042,0.49559861857844323,0.6242772108843537,0.5,28
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,multicenter,0.6733081015752961,0.4542168942168942,0.518258802167873,0.6677777777777777,0.5333333333333333,15
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,pediatric,0.5912508829377241,0.36030416357387574,0.43502149287328834,0.588445863883766,0.5454545454545454,11
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,hup,0.7052796991301857,0.5186528413632595,0.5711261447314098,0.7706018518518518,0.6111111111111112,36
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,lzu,0.5756740765092703,0.4651640239026161,0.4960792542298819,0.6242772108843537,0.5,28
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,multicenter,0.6733081015752961,0.4542168942168942,0.5160685230230483,0.6677777777777777,0.5333333333333333,15
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,pediatric,0.5847157514025926,0.3502933410630532,0.4348255991158775,0.5888787643166663,0.5454545454545454,11
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.05,0.05,score,hup,0.7041590348150769,0.5166687143791324,0.5713872000444804,0.7798611111111111,0.6388888888888888,36
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.05,0.05,score,lzu,0.5748982707601414,0.4640479524740447,0.49673253286214314,0.6302295918367348,0.5,28
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.05,0.05,score,multicenter,0.6776784719456664,0.4616243016243016,0.5162670547432603,0.6677777777777777,0.5333333333333333,15
