outer_fold,base_groups,candidate_group,inner_auroc_before,inner_auroc_after,inner_balanced_accuracy_before,inner_balanced_accuracy_after,selected,selection_rule
1,feature,raw,0.5681515957446808,0.5678191489361702,0.5458776595744681,0.5777925531914894,True,AUROC gain >= 0.015 OR balanced accuracy gain >= 0.015
1,feature+raw,p2,0.5678191489361702,0.5960771276595745,0.5777925531914894,0.5862699468085106,True,AUROC gain >= 0.010 OR balanced accuracy gain >= 0.010
2,feature,raw,0.5508643617021277,0.5551861702127661,0.547373670212766,0.5430518617021276,False,AUROC gain >= 0.015 OR balanced accuracy gain >= 0.015
2,feature,p2,0.5508643617021277,0.6293218085106383,0.547373670212766,0.6112034574468085,True,AUROC gain >= 0.010 OR balanced accuracy gain >= 0.010
3,feature,raw,0.5132275132275133,0.5532407407407407,0.5074404761904762,0.5411706349206349,True,AUROC gain >= 0.015 OR balanced accuracy gain >= 0.015
3,feature+raw,p2,0.5532407407407407,0.5727513227513227,0.5411706349206349,0.5441468253968254,True,AUROC gain >= 0.010 OR balanced accuracy gain >= 0.010
4,feature,raw,0.532569558101473,0.523404255319149,0.5885433715220949,0.5482815057283142,False,AUROC gain >= 0.015 OR balanced accuracy gain >= 0.015
4,feature,p2,0.532569558101473,0.6648117839607202,0.5885433715220949,0.616366612111293,True,AUROC gain >= 0.010 OR balanced accuracy gain >= 0.010
5,feature,raw,0.609375,0.6193484042553192,0.4822140957446808,0.5749667553191489,True,AUROC gain >= 0.015 OR balanced accuracy gain >= 0.015
5,feature+raw,p2,0.6193484042553192,0.652593085106383,0.5749667553191489,0.6253324468085106,True,AUROC gain >= 0.010 OR balanced accuracy gain >= 0.010
