outer_fold,threshold_role,threshold,failure_auprc,auroc,macro_f1,weighted_f1,balanced_accuracy,accuracy,failure_precision,failure_recall,specificity,brier,ece,tn,fp,fn,tp
1,threshold_05,0.5,1.0,1.0,0.4,0.5333333333333333,0.5,0.6666666666666666,0.0,0.0,1.0,0.2307181480053521,0.1219842632611593,2,0,1,0
1,inner_selected_threshold,1.0,1.0,1.0,0.4,0.5333333333333333,0.5,0.6666666666666666,0.0,0.0,1.0,0.2307181480053521,0.1219842632611593,2,0,1,0
