metric,estimate,ci_lower,ci_upper,repeats
accuracy,0.0,0.0,0.0,2000
balanced_accuracy,0.0,0.0,0.0,2000
macro_f1,0.0,0.0,0.0,2000
auroc,,,,2000
success_auprc,1.0,1.0,1.0,2000
failure_auprc,,,,2000
success_precision,0.0,0.0,0.0,2000
success_recall,0.0,0.0,0.0,2000
failure_precision,0.0,0.0,0.0,2000
failure_recall,0.0,0.0,0.0,2000
brier,0.3233289374495598,0.3233289374495598,0.3233289374495598,2000
ece,0.5686202049255371,0.5686202049255371,0.5686202049255371,2000
