method,center,patient_macro_f1,patient_macro_ez_f1,patient_macro_auprc_ez,patient_macro_ez_mrr,top1_is_ez_rate,n_patients
average_ictal_evidence_score,hup,0.650019543161257,0.4222341304591146,0.4594435637129861,0.6407269620811288,0.5,36
average_ictal_evidence_score,lzu,0.5440839372999845,0.412065102180616,0.4549155113479212,0.5461725774225774,0.32142857142857145,28
average_ictal_evidence_score,multicenter,0.6956147779120369,0.48317552817552817,0.531760259135189,0.6096296296296296,0.4,15
average_ictal_evidence_score,pediatric,0.5687703190021239,0.31490684603951186,0.3587430046593552,0.39417178954796506,0.2727272727272727,11
extra_trees,hup,0.6659293818184259,0.46222144910091945,0.5191585403052549,0.7457120811287479,0.6388888888888888,36
extra_trees,lzu,0.5549448053392709,0.4326983578379076,0.458999017038937,0.4969649398220827,0.25,28
extra_trees,multicenter,0.6774113400391711,0.4694407444407444,0.5441805647727954,0.7652618135376755,0.6666666666666666,15
extra_trees,pediatric,0.5719087020265331,0.334309537806096,0.41200695551256333,0.6685760667903525,0.6363636363636364,11
hist_gradient_boosting,hup,0.6674883791109864,0.46524135260765476,0.5164185422135422,0.7632241921158707,0.6666666666666666,36
hist_gradient_boosting,lzu,0.5431798985001234,0.41919197589421986,0.4675353592213317,0.6650984432234432,0.5,28
hist_gradient_boosting,multicenter,0.681434974176262,0.4857009657009657,0.5328874110684237,0.6617460317460317,0.4666666666666667,15
hist_gradient_boosting,pediatric,0.56850024447689,0.3188231772399482,0.3908061729428373,0.46252875286058254,0.36363636363636365,11
linear_svm,hup,0.648657052674249,0.4324233311905844,0.4780982666287362,0.8081349206349207,0.6944444444444444,36
linear_svm,lzu,0.541899820497492,0.41368720805839393,0.44939520156337165,0.5644428983714698,0.39285714285714285,28
linear_svm,multicenter,0.5998771980935245,0.3362222962222962,0.42068605515523044,0.5816569200779728,0.4,15
linear_svm,pediatric,0.5077725794119746,0.22914990464270815,0.297051309579251,0.41476160203432927,0.2727272727272727,11
logistic_elasticnet,hup,0.6884173533452382,0.5054330525659698,0.5764711224593139,0.8831018518518519,0.8055555555555556,36
logistic_elasticnet,lzu,0.5412479447145568,0.41128959460510545,0.46202628124805895,0.6336343121164549,0.5357142857142857,28
logistic_elasticnet,multicenter,0.6576680646449967,0.45451677951677955,0.5174818759547689,0.669000933706816,0.5333333333333333,15
logistic_elasticnet,pediatric,0.5354060559589435,0.2744807948969401,0.36711079796954,0.5050114591291062,0.45454545454545453,11
logistic_l2,hup,0.6518486510234054,0.43779559298419984,0.4873085430959329,0.7725308641975308,0.6388888888888888,36
logistic_l2,lzu,0.5341092877308375,0.4035943473557723,0.4574646209949214,0.647764105642257,0.5357142857142857,28
logistic_l2,multicenter,0.5844383787120563,0.31392237392237393,0.4137623314111919,0.5903703703703704,0.4666666666666667,15
logistic_l2,pediatric,0.5242437148130037,0.2521280433514476,0.3123930479079664,0.45086860507913135,0.36363636363636365,11
random_forest,hup,0.6871758411741886,0.4943839545787909,0.5735339380999872,0.8553030303030302,0.8055555555555556,36
random_forest,lzu,0.549788408700327,0.43131329126059165,0.4585990571363646,0.5544372294372294,0.39285714285714285,28
random_forest,multicenter,0.6961207471111162,0.508960113960114,0.5612430474403574,0.736111111111111,0.6,15
random_forest,pediatric,0.5682662559025529,0.31646452907404093,0.3965257097533838,0.5217488740216013,0.36363636363636365,11
rbf_svm,hup,0.6820356297025937,0.4919882788646803,0.5377743152913937,0.866005291005291,0.7777777777777778,36
rbf_svm,lzu,0.5493521368057561,0.4261101254187042,0.44936111265185097,0.4631802721088435,0.21428571428571427,28
rbf_svm,multicenter,0.6582361045907493,0.4407940207940208,0.47470404407258243,0.6727272727272726,0.5333333333333333,15
rbf_svm,pediatric,0.5681807214522276,0.32130988275387523,0.39727947777657635,0.5716001815746061,0.45454545454545453,11
single_hfo_duration_fraction,hup,0.6277450168547484,0.3876770177201311,0.4457442032594226,0.6808020683020684,0.5833333333333334,36
single_hfo_duration_fraction,lzu,0.5261833244764978,0.3963219994617466,0.43938715148321644,0.5315873015873016,0.32142857142857145,28
single_hfo_duration_fraction,multicenter,0.6520454082436001,0.40814185814185816,0.5026502986286999,0.5495726495726495,0.4,15
single_hfo_duration_fraction,pediatric,0.554079906061223,0.28892435439682,0.3472223559104612,0.4046093216547762,0.2727272727272727,11
single_hfo_event_rate,hup,0.6277414077312902,0.388647251337924,0.432438966065494,0.6153680167329593,0.5,36
single_hfo_event_rate,lzu,0.5476002042286452,0.4209828907998207,0.4473511170286721,0.5573523698523698,0.32142857142857145,28
single_hfo_event_rate,multicenter,0.666010714372091,0.43486420986420987,0.49278210431985503,0.5733660130718954,0.4,15
single_hfo_event_rate,pediatric,0.5702664906166229,0.3213637244065905,0.35774059972852823,0.4458338455549409,0.36363636363636365,11
single_high_gamma,hup,0.6008180239456334,0.3445048951614831,0.38564170403602066,0.505783142254796,0.3611111111111111,36
single_high_gamma,lzu,0.5789853741467983,0.45653522334746427,0.473931410231687,0.4928968253968254,0.25,28
single_high_gamma,multicenter,0.6563052488230438,0.416049136049136,0.4827536315345382,0.653069153069153,0.4666666666666667,15
single_high_gamma,pediatric,0.558067551616109,0.2858411578686923,0.35309843799332125,0.3294455616292829,0.2727272727272727,11
single_line_length,hup,0.635578426639161,0.3932211360893746,0.4526291089702924,0.6485266520354239,0.5277777777777778,36
single_line_length,lzu,0.5696458673199846,0.44784267734201466,0.4823884527062117,0.5341686091686092,0.32142857142857145,28
single_line_length,multicenter,0.6816650666797667,0.4615750915750916,0.5642113839721687,0.6968253968253968,0.5333333333333333,15
single_line_length,pediatric,0.6021385031334713,0.3717803368929777,0.42003144018093136,0.5560699128880947,0.5454545454545454,11
single_onset_latency_high_gamma,hup,0.6231822743235047,0.39113167702434964,0.4033899540914512,0.5696411613078279,0.4166666666666667,36
single_onset_latency_high_gamma,lzu,0.48779766983422007,0.35631253285017583,0.3901451929257435,0.4509392062963492,0.39285714285714285,28
single_onset_latency_high_gamma,multicenter,0.5518162018097491,0.27220057720057717,0.2766327665240316,0.3427272727272727,0.26666666666666666,15
single_onset_latency_high_gamma,pediatric,0.5422179718331986,0.2791284469945296,0.3998374287267238,0.5888833388833389,0.7272727272727273,11
single_onset_latency_line_length,hup,0.6468054266477048,0.426201471690039,0.4672034890858064,0.7402777777777777,0.6388888888888888,36
single_onset_latency_line_length,lzu,0.4680821060849002,0.3286807330988856,0.38367657603621685,0.4826343464736322,0.5,28
single_onset_latency_line_length,multicenter,0.5875621233262396,0.3172397972397973,0.3755617318698671,0.5696723646723646,0.4666666666666667,15
single_onset_latency_line_length,pediatric,0.5535280414803241,0.29766115021121275,0.3970910258168587,0.41646871646871647,0.5454545454545454,11
xgboost_optional,hup,0.6839100878498443,0.4875498563056742,0.5367388047594487,0.7774200336700336,0.6944444444444444,36
xgboost_optional,lzu,0.5444060687927201,0.41756215417080916,0.46152636907966926,0.5886904761904762,0.4642857142857143,28
xgboost_optional,multicenter,0.6660766793989462,0.4495933695933696,0.5343628906654837,0.7484126984126984,0.6666666666666666,15
xgboost_optional,pediatric,0.5604185236198325,0.30782926484584805,0.39279141823817026,0.45979777884950296,0.36363636363636365,11
