config,score_name,score_variant,gamma,fusion_space,patient_macro_f1,patient_macro_ez_f1,patient_macro_auprc_ez,patient_macro_ez_mrr,top1_is_ez_rate,n_patients
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad,score_broad,,score,0.6430801083290305,0.4664856335548164,0.5229804431394699,0.6931882818588245,0.5666666666666667,90
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,0.6430801083290305,0.4664856335548164,0.5229804431394699,0.6931882818588245,0.5666666666666667,90
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,0.6446641948239801,0.470023693229433,0.5254127512331839,0.6932411919117345,0.5666666666666667,90
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.05,0.05,score,0.6448531805320179,0.4701987881961947,0.5250747199842951,0.6970059456764883,0.5777777777777777,90
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.10,0.1,score,0.6444447265309641,0.4703932575559309,0.5254691363016698,0.689730813401356,0.5666666666666667,90
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.15,0.15,score,0.6454289768417756,0.471726700911732,0.5259135788878124,0.6843619630188258,0.5555555555555556,90
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.05,-0.05,score,0.6428144001484083,0.46614628222556165,0.5217235152834863,0.6872447192485952,0.5555555555555556,90
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.10,-0.1,score,0.6445362839212558,0.4691483604467299,0.5218640511789907,0.684917558754768,0.5555555555555556,90
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.20,-0.2,score,0.6445115549063922,0.4689878352861968,0.5193234352087164,0.6930221339181668,0.5777777777777777,90
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_core,score_core,,score,0.6388534265143413,0.4653908588746326,0.5225572981339514,0.6915187779195014,0.5777777777777777,90
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_eval,score_eval,,score,0.6446641948239801,0.470023693229433,0.5254506133580842,0.6932411919117345,0.5666666666666667,90
