center,n_patient_rows,n_unique_subjects,mean_patient_macro_f1,mean_patient_balanced_accuracy,mean_patient_weighted_f1,mean_patient_nez_f1,mean_patient_ez_f1,mean_ez_mrr,mean_ez_recall_at_true_count
hup,36,36,0.6963657175381969,0.6963657175381969,0.8372508507477322,0.887247340336339,0.5054840947400548,0.7891203703703703,0.5054840947400548
lzu,28,28,0.5715532544005716,0.5715532544005716,0.6337557629929698,0.6811495723906594,0.4619569364104838,0.6863945578231292,0.4619569364104838
multicenter,15,15,0.7010667160046015,0.7010667160046015,0.8491878428233931,0.8964546663304369,0.5056787656787657,0.6897385620915032,0.5056787656787657
pediatric,11,11,0.5686876665752443,0.5686876665752443,0.7346307087047834,0.8068468451595474,0.3305284879909411,0.538375659428291,0.3305284879909411
