config,score_name,score_variant,gamma,fusion_space,patient_macro_f1,patient_macro_ez_f1,patient_macro_auprc_ez,patient_macro_ez_mrr,top1_is_ez_rate,n_patients
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad,score_broad,,score,0.6461457358550518,0.47244822476413967,0.522164071983976,0.6856777748979629,0.5555555555555556,90
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,0.6461457358550518,0.47244822476413967,0.522164071983976,0.6856777748979629,0.5555555555555556,90
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,0.6448937566667136,0.470695279147751,0.5219429973820868,0.685730684950873,0.5555555555555556,90
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.05,0.05,score,0.6445140769203331,0.4700945295886681,0.5229899034625483,0.6913472905674786,0.5666666666666667,90
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.10,0.1,score,0.6442396446978015,0.4698285869543044,0.5244457690330315,0.6951832694034574,0.5777777777777777,90
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.15,0.15,score,0.6453984214243675,0.47122993154467335,0.5244589416226045,0.6875872716608011,0.5666666666666667,90
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.05,-0.05,score,0.6435468221448951,0.46744277814104596,0.5202369387089338,0.6857527308062521,0.5555555555555556,90
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.10,-0.1,score,0.6450916252195388,0.4702790188829439,0.5186063664122675,0.683991847115544,0.5555555555555556,90
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.20,-0.2,score,0.6442574785130044,0.46884020796834214,0.5172839614654058,0.6922841137297919,0.5777777777777777,90
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_core,score_core,,score,0.6384282734562094,0.4649180456358619,0.522024095082285,0.696753883396855,0.5888888888888889,90
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,score_eval,score_eval,,score,0.6461457358550518,0.47244822476413967,0.522164071983976,0.6856777748979629,0.5555555555555556,90
