config,center,fold_idx,center_id,n_channels,n_ez,ez_fraction,true_nez_count,true_ez_count,predicted_nez_count,predicted_ez_count,patient_macro_f1,patient_balanced_accuracy,patient_weighted_f1,patient_nez_precision,patient_nez_recall,patient_nez_f1,patient_ez_precision,patient_ez_recall,patient_ez_f1,patient_accuracy,ez_mrr,ez_recall_at_true_count,top1_is_ez,n_seizures
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,hup,2.75,0.0,101.86111111111111,17.11111111111111,0.1820872223034124,84.75,17.11111111111111,84.75,17.11111111111111,0.7052796991301857,0.7052796991301857,0.8437056762557784,0.8919065568971118,0.8919065568971118,0.8919065568971118,0.5186528413632595,0.5186528413632595,0.5186528413632595,0.8437056762557784,0.7706018518518518,0.5186528413632595,0.6111111111111112,3.25
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,lzu,3.2857142857142856,1.0,104.71428571428571,38.17857142857143,0.3750981017998692,66.53571428571429,38.17857142857143,66.53571428571429,38.17857142857143,0.5771309222258418,0.5771309222258418,0.6398379815762444,0.6873961756256416,0.6873961756256416,0.6873961756256416,0.466865668826042,0.466865668826042,0.466865668826042,0.6398379815762444,0.6242772108843537,0.466865668826042,0.5,2.9642857142857144
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,multicenter,2.7333333333333334,2.0,61.666666666666664,10.933333333333334,0.1746958241890683,50.733333333333334,10.933333333333334,50.733333333333334,10.933333333333334,0.6733081015752961,0.6733081015752961,0.8415102930250871,0.8923993089336979,0.8923993089336979,0.8923993089336979,0.4542168942168942,0.4542168942168942,0.4542168942168942,0.8415102930250871,0.6677777777777777,0.4542168942168942,0.5333333333333333,3.0
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,pediatric,3.4545454545454546,3.0,117.0,24.363636363636363,0.22150548192825295,92.63636363636364,24.363636363636363,92.63636363636364,24.363636363636363,0.5912508829377241,0.5912508829377241,0.7576933682312021,0.8221976023015725,0.8221976023015725,0.8221976023015725,0.36030416357387574,0.36030416357387574,0.36030416357387574,0.7576933682312021,0.588445863883766,0.36030416357387574,0.5454545454545454,2.6363636363636362
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,hup,2.75,0.0,101.86111111111111,17.11111111111111,0.1820872223034124,84.75,17.11111111111111,84.75,17.11111111111111,0.7024950444358088,0.7024950444358088,0.842361494456551,0.8910862921879583,0.8910862921879583,0.8910862921879583,0.5139037966836592,0.5139037966836592,0.5139037966836592,0.842361494456551,0.7844907407407408,0.5139037966836592,0.6388888888888888,3.25
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,lzu,3.2857142857142856,1.0,104.71428571428571,38.17857142857143,0.3750981017998692,66.53571428571429,38.17857142857143,66.53571428571429,38.17857142857143,0.5785164694789691,0.5785164694789691,0.6400263093222566,0.6879216694904295,0.6879216694904295,0.6879216694904295,0.46911126946750864,0.46911126946750864,0.46911126946750864,0.6400263093222566,0.6317176870748299,0.46911126946750864,0.5,2.9642857142857144
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,multicenter,2.7333333333333334,2.0,61.666666666666664,10.933333333333334,0.1746958241890683,50.733333333333334,10.933333333333334,50.733333333333334,10.933333333333334,0.6733081015752961,0.6733081015752961,0.8415102930250871,0.8923993089336979,0.8923993089336979,0.8923993089336979,0.4542168942168942,0.4542168942168942,0.4542168942168942,0.8415102930250871,0.6655555555555555,0.4542168942168942,0.5333333333333333,3.0
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,pediatric,3.4545454545454546,3.0,117.0,24.363636363636363,0.22150548192825295,92.63636363636364,24.363636363636363,92.63636363636364,24.363636363636363,0.5847157514025926,0.5847157514025926,0.753124086141106,0.8191381617421318,0.8191381617421318,0.8191381617421318,0.3502933410630532,0.3502933410630532,0.3502933410630532,0.753124086141106,0.5889647303600792,0.3502933410630532,0.5454545454545454,2.6363636363636362
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,hup,2.75,0.0,101.86111111111111,17.11111111111111,0.1820872223034124,84.75,17.11111111111111,84.75,17.11111111111111,0.6989844030901067,0.6989844030901067,0.836740009881055,0.8859949474879044,0.8859949474879044,0.8859949474879044,0.5119738586923089,0.5119738586923089,0.5119738586923089,0.836740009881055,0.7465277777777778,0.5119738586923089,0.6111111111111112,3.25
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,lzu,3.2857142857142856,1.0,104.71428571428571,38.17857142857143,0.3750981017998692,66.53571428571429,38.17857142857143,66.53571428571429,38.17857142857143,0.574369777657396,0.574369777657396,0.6361949287012629,0.6814786054673178,0.6814786054673178,0.6814786054673178,0.4672609498474742,0.4672609498474742,0.4672609498474742,0.6361949287012629,0.6796130952380952,0.4672609498474742,0.5714285714285714,2.9642857142857144
