"fold_idx","n_patients","patient_macro_f1","patient_macro_ez_f1","patient_macro_auprc_ez","patient_macro_ez_mrr","top1_is_ez_rate"
"1","18","0.6362908387576122","0.47673042095541834","0.5168210969706901","0.6693475452196382","0.5"
"2","18","0.6282161330135705","0.39823981109642975","0.44875099281753894","0.7192265795206971","0.5555555555555556"
"3","18","0.6533110572854266","0.45200031931958207","0.5222223929311789","0.7421957671957672","0.6666666666666666"
"4","18","0.5892446789940257","0.44820482681499907","0.4860676537327529","0.6403846153846154","0.5"
"5","18","0.7172335770734188","0.5916239003524466","0.6465543039588127","0.8058362369337979","0.7777777777777778"
