config,variant_family,score_variant,score_space,alpha,beta,gamma,patient_macro_f1,patient_macro_ez_f1,patient_macro_auprc_ez,patient_macro_ez_mrr,top1_is_ez_rate,n_patients,beats_a9v3_f1,beats_a9v3_ez_f1,beats_a9v3_auprc,beats_a9v3_mrr,beats_a9v3_top1,passes_main_gate,score_name
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_only,patient_zscore_probability,,,,0.6427135780776422,0.47059129425797064,0.5186349018779979,0.7151362033792374,0.6,90,False,True,False,True,True,False,teacher_only
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_a0.02,patient_zscore_probability,0.02,,,0.6423453120843763,0.47008624375292013,0.518995204497077,0.7106846364276704,0.5888888888888889,90,False,False,True,False,False,False,teacher_plus_broad_a0.02
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_a0.05,patient_zscore_probability,0.05,,,0.6426311624404447,0.47075234258015797,0.5189054875480766,0.7092012562600798,0.5888888888888889,90,False,True,True,False,False,False,teacher_plus_broad_a0.05
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_a0.10,patient_zscore_probability,0.1,,,0.6431820673246155,0.471760824428648,0.5207988418912703,0.7113902483880963,0.5888888888888889,90,True,True,True,False,False,False,teacher_plus_broad_a0.10
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_a0.20,patient_zscore_probability,0.2,,,0.6430716714713284,0.47064406974602985,0.5242856689223853,0.7234448373391038,0.6111111111111112,90,True,True,True,True,True,True,teacher_plus_broad_a0.20
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_a0.30,patient_zscore_probability,0.3,,,0.6431898924399776,0.47138025351719093,0.5240902181943936,0.7100879254741044,0.5888888888888889,90,True,True,True,False,False,False,teacher_plus_broad_a0.30
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_a0.50,patient_zscore_probability,0.5,,,0.6440708636524133,0.4729963246569979,0.5261574470558359,0.7058451890787114,0.5888888888888889,90,True,True,True,False,False,False,teacher_plus_broad_a0.50
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.02_b+0.00,patient_zscore_probability,0.02,0.0,,0.6423453120843763,0.47008624375292013,0.518995204497077,0.7106846364276704,0.5888888888888889,90,False,False,True,False,False,False,teacher_plus_broad_core_a0.02_b+0.00
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.02_b+0.05,patient_zscore_probability,0.02,0.05,,0.642092117473407,0.4701346102626446,0.519103057985426,0.7103633123611602,0.5888888888888889,90,False,False,True,False,False,False,teacher_plus_broad_core_a0.02_b+0.05
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.02_b+0.10,patient_zscore_probability,0.02,0.1,,0.6427262080552701,0.4713467211660762,0.5202149148621683,0.7095257917590339,0.5888888888888889,90,True,True,True,False,False,False,teacher_plus_broad_core_a0.02_b+0.10
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.02_b+0.20,patient_zscore_probability,0.02,0.2,,0.6417161427483917,0.46987649415761423,0.5203232596722566,0.7084382462891234,0.5888888888888889,90,False,False,True,False,False,False,teacher_plus_broad_core_a0.02_b+0.20
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.02_b-0.05,patient_zscore_probability,0.02,-0.05,,0.6419633816341938,0.4697103853332908,0.5157235731644781,0.7095057033609665,0.6,90,False,False,False,False,True,False,teacher_plus_broad_core_a0.02_b-0.05
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.02_b-0.10,patient_zscore_probability,0.02,-0.1,,0.639313550778252,0.46533021472220065,0.5148852084367986,0.709222275823153,0.6,90,False,False,False,False,True,False,teacher_plus_broad_core_a0.02_b-0.10
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.02_b-0.20,patient_zscore_probability,0.02,-0.2,,0.6363849343003147,0.4607023900311409,0.5046746793690604,0.6719138312094969,0.5444444444444444,90,False,False,False,False,False,False,teacher_plus_broad_core_a0.02_b-0.20
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.05_b+0.00,patient_zscore_probability,0.05,0.0,,0.6426311624404447,0.47075234258015797,0.5189054875480766,0.7092012562600798,0.5888888888888889,90,False,True,True,False,False,False,teacher_plus_broad_core_a0.05_b+0.00
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.05_b+0.05,patient_zscore_probability,0.05,0.05,,0.6423345583563919,0.47065725834626837,0.5199874597349031,0.71072107795432,0.5888888888888889,90,False,True,True,False,False,False,teacher_plus_broad_core_a0.05_b+0.05
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.05_b+0.10,patient_zscore_probability,0.05,0.1,,0.6419937702868588,0.47033422873579295,0.5205745815065957,0.7110072732405154,0.5888888888888889,90,False,False,True,False,False,False,teacher_plus_broad_core_a0.05_b+0.10
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.05_b+0.20,patient_zscore_probability,0.05,0.2,,0.6417967959262354,0.4702574971701962,0.5211529961764536,0.7102801951898959,0.5888888888888889,90,False,False,True,False,False,False,teacher_plus_broad_core_a0.05_b+0.20
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.05_b-0.05,patient_zscore_probability,0.05,-0.05,,0.6417149969506645,0.46934221678927746,0.5171078374183616,0.7111062031650267,0.6,90,False,False,False,False,True,False,teacher_plus_broad_core_a0.05_b-0.05
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.05_b-0.10,patient_zscore_probability,0.05,-0.1,,0.6415255732795712,0.4683898209122362,0.5163451465330534,0.7087373214733895,0.6,90,False,False,False,False,True,False,teacher_plus_broad_core_a0.05_b-0.10
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.05_b-0.20,patient_zscore_probability,0.05,-0.2,,0.6377236500250808,0.46253388113837546,0.507790415207485,0.6862563459931881,0.5666666666666667,90,False,False,False,False,False,False,teacher_plus_broad_core_a0.05_b-0.20
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.10_b+0.00,patient_zscore_probability,0.1,0.0,,0.6431820673246155,0.471760824428648,0.5207988418912703,0.7113902483880963,0.5888888888888889,90,True,True,True,False,False,False,teacher_plus_broad_core_a0.10_b+0.00
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.10_b+0.05,patient_zscore_probability,0.1,0.05,,0.6432056433580239,0.47165899059525696,0.5218627703506898,0.7112766335098756,0.5888888888888889,90,True,True,True,False,False,False,teacher_plus_broad_core_a0.10_b+0.05
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.10_b+0.10,patient_zscore_probability,0.1,0.1,,0.6409458539798845,0.46868649624192554,0.5218850622995207,0.7128532524120759,0.5888888888888889,90,False,False,True,False,False,False,teacher_plus_broad_core_a0.10_b+0.10
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.10_b+0.20,patient_zscore_probability,0.1,0.2,,0.6428518666647703,0.4719181293088679,0.5223277140231469,0.7162393779060445,0.6,90,True,True,True,True,True,True,teacher_plus_broad_core_a0.10_b+0.20
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.10_b-0.05,patient_zscore_probability,0.1,-0.05,,0.6422658910297103,0.4695724834621468,0.5190598855835,0.7149729388672054,0.6,90,False,False,True,False,True,False,teacher_plus_broad_core_a0.10_b-0.05
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.10_b-0.10,patient_zscore_probability,0.1,-0.1,,0.6408575105273061,0.46725421903649056,0.518352563274346,0.7098967950503038,0.6,90,False,False,False,False,True,False,teacher_plus_broad_core_a0.10_b-0.10
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.10_b-0.20,patient_zscore_probability,0.1,-0.2,,0.6391468128650712,0.4647137534793225,0.5122775077836627,0.6868644010310677,0.5666666666666667,90,False,False,False,False,False,False,teacher_plus_broad_core_a0.10_b-0.20
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.20_b+0.00,patient_zscore_probability,0.2,0.0,,0.6430716714713284,0.47064406974602985,0.5242856689223853,0.7234448373391038,0.6111111111111112,90,True,True,True,True,True,True,teacher_plus_broad_core_a0.20_b+0.00
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.20_b+0.05,patient_zscore_probability,0.2,0.05,,0.6415887203618538,0.4690340173847636,0.5243664598900393,0.723718088053531,0.6111111111111112,90,False,False,True,True,True,False,teacher_plus_broad_core_a0.20_b+0.05
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.20_b+0.10,patient_zscore_probability,0.2,0.1,,0.6418003535926337,0.46995602267734465,0.5244399960164784,0.720487567987568,0.6111111111111112,90,False,False,True,True,True,False,teacher_plus_broad_core_a0.20_b+0.10
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.20_b+0.20,patient_zscore_probability,0.2,0.2,,0.6433236169948586,0.4724678466997467,0.523557960381775,0.7243271180526083,0.6222222222222222,90,True,True,True,True,True,True,teacher_plus_broad_core_a0.20_b+0.20
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.20_b-0.05,patient_zscore_probability,0.2,-0.05,,0.6438022952804027,0.47172657673814783,0.5236484494716412,0.7182278435274078,0.6,90,True,True,True,True,True,True,teacher_plus_broad_core_a0.20_b-0.05
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.20_b-0.10,patient_zscore_probability,0.2,-0.1,,0.6436701189842081,0.47180646568910733,0.5209904409305565,0.7123171883891104,0.6,90,True,True,True,False,True,False,teacher_plus_broad_core_a0.20_b-0.10
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.20_b-0.20,patient_zscore_probability,0.2,-0.2,,0.6401627025953354,0.4662919032864176,0.5180132351601999,0.696163643606066,0.5666666666666667,90,False,False,False,False,False,False,teacher_plus_broad_core_a0.20_b-0.20
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.30_b+0.00,patient_zscore_probability,0.3,0.0,,0.6431898924399776,0.47138025351719093,0.5240902181943936,0.7100879254741044,0.5888888888888889,90,True,True,True,False,False,False,teacher_plus_broad_core_a0.30_b+0.00
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.30_b+0.05,patient_zscore_probability,0.3,0.05,,0.6443741062653006,0.4733793736021938,0.5239104092022006,0.7160265760020662,0.6,90,True,True,True,True,True,True,teacher_plus_broad_core_a0.30_b+0.05
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.30_b+0.10,patient_zscore_probability,0.3,0.1,,0.6446068145407631,0.47409938854304357,0.524208716163369,0.7129503318445984,0.6,90,True,True,True,False,True,False,teacher_plus_broad_core_a0.30_b+0.10
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.30_b+0.20,patient_zscore_probability,0.3,0.2,,0.6447926081325471,0.4740590222233178,0.5251777904291866,0.7109153419596728,0.6,90,True,True,True,False,True,False,teacher_plus_broad_core_a0.30_b+0.20
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.30_b-0.05,patient_zscore_probability,0.3,-0.05,,0.6419456974518172,0.4694666672988108,0.5242251612979825,0.7113660152151325,0.5888888888888889,90,False,False,True,False,False,False,teacher_plus_broad_core_a0.30_b-0.05
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.30_b-0.10,patient_zscore_probability,0.3,-0.1,,0.6416749427931855,0.4687912368993109,0.5236593071344424,0.7117886173044013,0.5888888888888889,90,False,False,True,False,False,False,teacher_plus_broad_core_a0.30_b-0.10
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.30_b-0.20,patient_zscore_probability,0.3,-0.2,,0.6445077237820263,0.472546234061111,0.5210804169790099,0.7063141982122352,0.5888888888888889,90,True,True,True,False,False,False,teacher_plus_broad_core_a0.30_b-0.20
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.50_b+0.00,patient_zscore_probability,0.5,0.0,,0.6440708636524133,0.4729963246569979,0.5261574470558359,0.7058451890787114,0.5888888888888889,90,True,True,True,False,False,False,teacher_plus_broad_core_a0.50_b+0.00
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.50_b+0.05,patient_zscore_probability,0.5,0.05,,0.6442043628853523,0.4733222333162399,0.5255985243241547,0.7030323819180782,0.5888888888888889,90,True,True,True,False,False,False,teacher_plus_broad_core_a0.50_b+0.05
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.50_b+0.10,patient_zscore_probability,0.5,0.1,,0.6457725576415189,0.4755075808360921,0.5255670290930868,0.6910963549820512,0.5666666666666667,90,True,True,True,False,False,False,teacher_plus_broad_core_a0.50_b+0.10
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.50_b+0.20,patient_zscore_probability,0.5,0.2,,0.6465369564776856,0.47672380079820686,0.5249442445984273,0.6857920547530522,0.5555555555555556,90,True,True,True,False,False,False,teacher_plus_broad_core_a0.50_b+0.20
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.50_b-0.05,patient_zscore_probability,0.5,-0.05,,0.6442945217647544,0.47287352780538755,0.5254866352926442,0.7089400263402154,0.5888888888888889,90,True,True,True,False,False,False,teacher_plus_broad_core_a0.50_b-0.05
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.50_b-0.10,patient_zscore_probability,0.5,-0.1,,0.6446202764226658,0.4727894710421626,0.5258258528851327,0.7088158912160801,0.5888888888888889,90,True,True,True,False,False,False,teacher_plus_broad_core_a0.50_b-0.10
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,teacher_anchor,teacher_plus_broad_core_a0.50_b-0.20,patient_zscore_probability,0.5,-0.2,,0.645866180209096,0.47432587337798354,0.52352952886767,0.6997302127459968,0.5777777777777777,90,True,True,True,False,False,False,teacher_plus_broad_core_a0.50_b-0.20
