config,variant_family,score_variant,score_space,alpha,beta,gamma,center,patient_macro_f1,patient_macro_ez_f1,patient_macro_auprc_ez,patient_macro_ez_mrr,top1_is_ez_rate,n_patients,beats_a9v3_f1,beats_a9v3_ez_f1,beats_a9v3_auprc,beats_a9v3_mrr,beats_a9v3_top1,passes_main_gate,score_name
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,logit_broad_core,logit_broad_plus_gamma_core_g+0.00,logit_from_probability,,,0.0,hup,0.7052796991301857,0.5186528413632595,0.57108018622881,0.7706018518518518,0.6111111111111112,36,True,True,True,True,True,True,logit_broad_plus_gamma_core_g+0.00
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,logit_broad_core,logit_broad_plus_gamma_core_g+0.00,logit_from_probability,,,0.0,lzu,0.5771309222258418,0.466865668826042,0.49559861857844323,0.6242772108843537,0.5,28,False,False,False,False,False,False,logit_broad_plus_gamma_core_g+0.00
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,logit_broad_core,logit_broad_plus_gamma_core_g+0.00,logit_from_probability,,,0.0,multicenter,0.6733081015752961,0.4542168942168942,0.518258802167873,0.6677777777777777,0.5333333333333333,15,True,False,False,False,False,False,logit_broad_plus_gamma_core_g+0.00
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,logit_broad_core,logit_broad_plus_gamma_core_g+0.00,logit_from_probability,,,0.0,pediatric,0.5912508829377241,0.36030416357387574,0.43502149287328834,0.588445863883766,0.5454545454545454,11,False,False,False,False,False,False,logit_broad_plus_gamma_core_g+0.00
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,logit_broad_core,logit_broad_plus_gamma_core_g+0.02,logit_from_probability,,,0.02,hup,0.7052796991301857,0.5186528413632595,0.5711394679921229,0.7706018518518518,0.6111111111111112,36,True,True,True,True,True,True,logit_broad_plus_gamma_core_g+0.02
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,logit_broad_core,logit_broad_plus_gamma_core_g+0.02,logit_from_probability,,,0.02,lzu,0.5756740765092703,0.4651640239026161,0.4961877866275152,0.6242772108843537,0.5,28,False,False,False,False,False,False,logit_broad_plus_gamma_core_g+0.02
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,logit_broad_core,logit_broad_plus_gamma_core_g+0.02,logit_from_probability,,,0.02,multicenter,0.6733081015752961,0.4542168942168942,0.5160685230230483,0.6677777777777777,0.5333333333333333,15,True,False,False,False,False,False,logit_broad_plus_gamma_core_g+0.02
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,logit_broad_core,logit_broad_plus_gamma_core_g+0.02,logit_from_probability,,,0.02,pediatric,0.5847157514025926,0.3502933410630532,0.4348328834981619,0.5888787643166663,0.5454545454545454,11,False,False,False,False,False,False,logit_broad_plus_gamma_core_g+0.02
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,logit_broad_core,logit_broad_plus_gamma_core_g+0.05,logit_from_probability,,,0.05,hup,0.7041590348150769,0.5166687143791324,0.5706094855574051,0.7659722222222222,0.6111111111111112,36,True,True,True,True,True,True,logit_broad_plus_gamma_core_g+0.05
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,logit_broad_core,logit_broad_plus_gamma_core_g+0.05,logit_from_probability,,,0.05,lzu,0.5748982707601414,0.4640479524740447,0.49656739805681555,0.6242772108843537,0.5,28,False,False,False,False,False,False,logit_broad_plus_gamma_core_g+0.05
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,logit_broad_core,logit_broad_plus_gamma_core_g+0.05,logit_from_probability,,,0.05,multicenter,0.6776784719456664,0.4616243016243016,0.5162670547432603,0.6677777777777777,0.5333333333333333,15,True,False,False,False,False,False,logit_broad_plus_gamma_core_g+0.05
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,logit_broad_core,logit_broad_plus_gamma_core_g+0.05,logit_from_probability,,,0.05,pediatric,0.5812920917289329,0.34461152288123503,0.44060234845961616,0.5893782648161668,0.5454545454545454,11,False,False,False,False,False,False,logit_broad_plus_gamma_core_g+0.05
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,logit_broad_core,logit_broad_plus_gamma_core_g+0.10,logit_from_probability,,,0.1,hup,0.7050463804940893,0.5180576032680214,0.5752763841468029,0.7891203703703703,0.6666666666666666,36,True,True,True,True,True,True,logit_broad_plus_gamma_core_g+0.10
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,logit_broad_core,logit_broad_plus_gamma_core_g+0.10,logit_from_probability,,,0.1,lzu,0.5740976581174235,0.4631081028499845,0.49661196260160095,0.6125686813186813,0.4642857142857143,28,False,False,False,False,False,False,logit_broad_plus_gamma_core_g+0.10
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,logit_broad_core,logit_broad_plus_gamma_core_g+0.10,logit_from_probability,,,0.1,multicenter,0.6776784719456664,0.4616243016243016,0.5159700078061259,0.6677777777777777,0.5333333333333333,15,True,False,False,False,False,False,logit_broad_plus_gamma_core_g+0.10
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,logit_broad_core,logit_broad_plus_gamma_core_g+0.10,logit_from_probability,,,0.1,pediatric,0.578180619867461,0.3402825185522307,0.43990569209929314,0.5906497206330772,0.5454545454545454,11,False,False,False,False,False,False,logit_broad_plus_gamma_core_g+0.10
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,logit_broad_core,logit_broad_plus_gamma_core_g+0.15,logit_from_probability,,,0.15,hup,0.7050463804940893,0.5180576032680214,0.5761077142629397,0.7891203703703703,0.6666666666666666,36,True,True,True,True,True,True,logit_broad_plus_gamma_core_g+0.15
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,logit_broad_core,logit_broad_plus_gamma_core_g+0.15,logit_from_probability,,,0.15,lzu,0.5764772884381621,0.46538028189045616,0.49734917749867247,0.6322115384615384,0.5,28,False,False,False,False,False,False,logit_broad_plus_gamma_core_g+0.15
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,logit_broad_core,logit_broad_plus_gamma_core_g+0.15,logit_from_probability,,,0.15,multicenter,0.6776784719456664,0.4616243016243016,0.5162961455539761,0.6644444444444445,0.5333333333333333,15,True,False,False,False,False,False,logit_broad_plus_gamma_core_g+0.15
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,logit_broad_core,logit_broad_plus_gamma_core_g+0.15,logit_from_probability,,,0.15,pediatric,0.5816042795411207,0.34596433673404886,0.4390224636122561,0.54599376114082,0.45454545454545453,11,False,False,False,False,False,False,logit_broad_plus_gamma_core_g+0.15
A9v8_LCBO_stage1b_gamma000_f1_all90_posEZ,logit_broad_core,logit_broad_plus_gamma_core_g-0.05,logit_from_probability,,,-0.05,hup,0.7042522679556957,0.5170188544351549,0.571823884557842,0.7706018518518518,0.6111111111111112,36,True,True,True,True,True,True,logit_broad_plus_gamma_core_g-0.05
