config,score_name,score_variant,gamma,fusion_space,fold_idx,patient_macro_f1,patient_macro_ez_f1,patient_macro_auprc_ez,patient_macro_ez_mrr,top1_is_ez_rate,n_patients
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad,score_broad,,score,1,0.62600557646234,0.457188164582919,0.5120908219286693,0.6563271604938271,0.5,18
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad,score_broad,,score,2,0.6181352596084747,0.37784389835833626,0.4329199208725685,0.5861111111111111,0.3888888888888889,18
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad,score_broad,,score,3,0.6660556347727574,0.4712357684036433,0.5305870523295505,0.7494444444444445,0.6111111111111112,18
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad,score_broad,,score,4,0.6044182789071982,0.47206554489894903,0.5075798189390386,0.6962962962962963,0.6111111111111112,18
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad,score_broad,,score,5,0.7007857918943822,0.5540947915302342,0.6317246016275226,0.7777623969484435,0.7222222222222222,18
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,1,0.62600557646234,0.457188164582919,0.5120908219286693,0.6563271604938271,0.5,18
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,2,0.6181352596084747,0.37784389835833626,0.4329199208725685,0.5861111111111111,0.3888888888888889,18
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,3,0.6660556347727574,0.4712357684036433,0.5305870523295505,0.7494444444444445,0.6111111111111112,18
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,4,0.6044182789071982,0.47206554489894903,0.5075798189390386,0.6962962962962963,0.6111111111111112,18
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,5,0.7007857918943822,0.5540947915302342,0.6317246016275226,0.7777623969484435,0.7222222222222222,18
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,1,0.62600557646234,0.457188164582919,0.512611996581455,0.6563271604938271,0.5,18
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,2,0.6181352596084747,0.37784389835833626,0.4340142849667305,0.5861111111111111,0.3888888888888889,18
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,3,0.6638143061425398,0.46726751443538933,0.5307469024328529,0.7494444444444445,0.6111111111111112,18
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,4,0.6000598379919618,0.46594631946250864,0.5089117217925678,0.6965608465608466,0.6111111111111112,18
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,5,0.7153059939145842,0.581872569308012,0.6407788503923126,0.7777623969484435,0.7222222222222222,18
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.05,0.05,score,1,0.62600557646234,0.457188164582919,0.5118804791762114,0.6470679012345679,0.5,18
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.05,0.05,score,2,0.6181352596084747,0.37784389835833626,0.43113736848221057,0.5861111111111111,0.3888888888888889,18
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.05,0.05,score,3,0.6612754769908075,0.4626378848057597,0.5312336308514991,0.767962962962963,0.6666666666666666,18
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.05,0.05,score,4,0.5999016203752414,0.46527858441977354,0.5100053127468505,0.7061253561253561,0.6111111111111112,18
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.05,0.05,score,5,0.7189479692232261,0.5880454088141849,0.6411168086647041,0.7777623969484435,0.7222222222222222,18
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.10,0.1,score,1,0.6284762953633342,0.464030822844017,0.5143142035609963,0.6470679012345679,0.5,18
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.10,0.1,score,2,0.6199099509664995,0.38062167613611403,0.4307059736319263,0.5768518518518518,0.3888888888888889,18
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.10,0.1,score,3,0.6612754769908075,0.4626378848057597,0.5314922218135042,0.767962962962963,0.6666666666666666,18
A9v8_LCBO_stage1b_gamma002_f1_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.10,0.1,score,4,0.5955153951374081,0.4592759978250817,0.509705724885585,0.6787037037037037,0.5555555555555556,18
