model,seed,center,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,precision_nez,recall_nez,f1_nez,precision_ez,recall_ez,f1_ez,AUROC_NEZ,AUPRC_NEZ,AUROC_EZ,AUPRC_EZ,MCC,TN,FP,FN,TP,n_channels,n_patients,patient_macro_f1,patient_ez_f1,patient_nez_f1,patient_accuracy
rbf_svm,42,hup,0.7392964275974911,0.5472819748262227,0.5448818185766914,0.5472819748262227,0.5459258798721317,0.7426903110093027,0.8481222997673645,0.8364470665355621,0.8422442244224423,0.24164133738601823,0.25811688311688313,0.24960753532182103,0.630778922814321,0.8900278762099116,0.6307789228143211,0.2381903878506794,0.09213253531946711,159,457,499,2552,3667,36,0.5220248126437687,0.23421236779203902,0.8098372574954982,0.7242992124306387
rbf_svm,42,lzu,0.565143246930423,0.5206623293349342,0.521644771170322,0.5206623293349342,0.5204601981194774,0.5601008023160033,0.6496945010183299,0.6849168008588299,0.6668408675202508,0.39359504132231404,0.35640785781103834,0.374079528718704,0.5536510059767608,0.6814099895078003,0.5536510059767608,0.40930793779950053,0.04229569199341607,381,688,587,1276,2932,28,0.461424416894246,0.2996924780130282,0.6231563557754638,0.564435975800296
rbf_svm,42,multicenter,0.7470270270270271,0.6501314060446781,0.6158793770950066,0.6501314060446781,0.6254516383570746,0.7631755606264514,0.8813314037626628,0.8002628120893561,0.8388429752066116,0.3504273504273504,0.5,0.4120603015075377,0.7327810006089548,0.9298657922349534,0.7327810006089548,0.3046752212698427,0.2637963897770764,82,82,152,609,925,15,0.5741213528665601,0.3258778131870488,0.8223648925460711,0.7464217581702037
rbf_svm,42,pediatric,0.6697746697746698,0.4765884756785259,0.4741384192217458,0.4765884756785259,0.4749273552312393,0.6615731884227141,0.782319391634981,0.8076545632973503,0.7947851279575084,0.16595744680851063,0.1455223880597015,0.1550695825049702,0.521637396921184,0.8132412279466209,0.521637396921184,0.20944050514671692,-0.04921215408339141,39,229,196,823,1287,11,0.4205388798525465,0.13846128726257512,0.7026164724425179,0.6306808323838888
