source_file,config,patient_macro_f1,patient_macro_ez_f1,patient_macro_auprc_ez,patient_macro_ez_mrr,top1_is_ez_rate,passes_main_gate,variant_family,score_variant,score_space,alpha,beta,gamma,n_patients,beats_a9v3_f1,beats_a9v3_ez_f1,beats_a9v3_auprc,beats_a9v3_mrr,beats_a9v3_top1,score_name,_source_cfg,f1_bin,ez_f1_bin,auprc_bin,mrr_bin,top1_bin,similar_group_id
lcbo_teacher_anchor_rescore_summary.csv,A9v8_stage1c_anchor_a010_b-005_mrr,0.6434671520417574,0.472117160451443,0.5240819256943371,0.7270140661807329,0.6222222222222222,True,teacher_anchor,teacher_plus_broad_core_a0.10_b+0.20,patient_zscore_probability,0.1,0.2,,90.0,True,True,True,True,True,teacher_plus_broad_core_a0.10_b+0.20,lcbo_teacher_anchor_rescore_summary.csv,0.643,0.472,0.524,0.727,0.622,0.643_0.472_0.524_0.727_0.622
lcbo_teacher_anchor_rescore_summary.csv,A9v8_stage1c_anchor_a020_b-010_mrr,0.6433847057618383,0.4722580241300603,0.5229742028928132,0.720050104216771,0.6111111111111112,True,teacher_anchor,teacher_plus_broad_core_a0.10_b+0.20,patient_zscore_probability,0.1,0.2,,90.0,True,True,True,True,True,teacher_plus_broad_core_a0.10_b+0.20,lcbo_teacher_anchor_rescore_summary.csv,0.643,0.472,0.523,0.72,0.611,0.643_0.472_0.523_0.72_0.611
lcbo_teacher_anchor_rescore_summary.csv,A9v8_stage1c_anchor_a020_b-010_mrr,0.6439088932388404,0.4728701575464535,0.5249519668260504,0.7190973367717552,0.6,True,teacher_anchor,teacher_plus_broad_core_a0.20_b+0.05,patient_zscore_probability,0.2,0.05,,90.0,True,True,True,True,True,teacher_plus_broad_core_a0.20_b+0.05,lcbo_teacher_anchor_rescore_summary.csv,0.644,0.473,0.525,0.719,0.6,0.644_0.473_0.525_0.719_0.6
lcbo_teacher_anchor_rescore_summary.csv,A9v8_stage1c_anchor_a020_b000_mrr,0.6433069286479434,0.4723527241080593,0.5227681348489074,0.7188764399181066,0.6111111111111112,True,teacher_anchor,teacher_plus_broad_core_a0.10_b+0.20,patient_zscore_probability,0.1,0.2,,90.0,True,True,True,True,True,teacher_plus_broad_core_a0.10_b+0.20,lcbo_teacher_anchor_rescore_summary.csv,0.643,0.472,0.523,0.719,0.611,0.643_0.472_0.523_0.719_0.611
lcbo_teacher_anchor_rescore_summary.csv,A9v8_stage1c_anchor_a020_b000_mrr,0.6440310694955039,0.471879654612607,0.5233558887220288,0.7175475134554544,0.6111111111111112,True,teacher_anchor,teacher_plus_broad_core_a0.20_b-0.05,patient_zscore_probability,0.2,-0.05,,90.0,True,True,True,True,True,teacher_plus_broad_core_a0.20_b-0.05,lcbo_teacher_anchor_rescore_summary.csv,0.644,0.472,0.523,0.718,0.611,0.644_0.472_0.523_0.718_0.611
lcbo_teacher_anchor_rescore_summary.csv,A9v8_stage1c_anchor_a010_b000_mrr,0.6432332472004549,0.4718336789123341,0.5224911188686564,0.7175079347355346,0.6,True,teacher_anchor,teacher_plus_broad_core_a0.10_b+0.10,patient_zscore_probability,0.1,0.1,,90.0,True,True,True,True,True,teacher_plus_broad_core_a0.10_b+0.10,lcbo_teacher_anchor_rescore_summary.csv,0.643,0.472,0.522,0.718,0.6,0.643_0.472_0.522_0.718_0.6
lcbo_teacher_anchor_rescore_summary.csv,A9v8_stage1c_anchor_a020_b-010_mrr,0.643263745037064,0.4723016042160132,0.5247869711066364,0.7163065715149048,0.6111111111111112,True,teacher_anchor,teacher_plus_broad_core_a0.20_b+0.20,patient_zscore_probability,0.2,0.2,,90.0,True,True,True,True,True,teacher_plus_broad_core_a0.20_b+0.20,lcbo_teacher_anchor_rescore_summary.csv,0.643,0.472,0.525,0.716,0.611,0.643_0.472_0.525_0.716_0.611
A9v8_stage1c_anchor_a020_b000_mrr\heldout_summary_neuroez_v3.json,A9v8_stage1c_anchor_a020_b000_mrr,0.644859257,0.4733598557,0.5240832881,0.7153981489,0.6,True,,,,,,,,,,,,,,,0.645,0.473,0.524,0.715,0.6,0.645_0.473_0.524_0.715_0.6
lcbo_rescore_summary.csv,A9v8_stage1c_anchor_a020_b000_mrr,0.6448592570248107,0.4733598557077752,0.5240832880821947,0.7153981488509032,0.6,True,raw_score,score_eval,probability,,,,90.0,True,True,True,True,True,score_eval,lcbo_rescore_summary.csv,0.645,0.473,0.524,0.715,0.6,0.645_0.473_0.524_0.715_0.6
lcbo_teacher_anchor_rescore_summary.csv,A9v8_stage1c_anchor_a020_b000_mrr,0.6448592570248107,0.4733598557077752,0.5240832880821947,0.7153981488509032,0.6,True,teacher_anchor,teacher_plus_broad_a0.20,patient_zscore_probability,0.2,,,90.0,True,True,True,True,True,teacher_plus_broad_a0.20,lcbo_teacher_anchor_rescore_summary.csv,0.645,0.473,0.524,0.715,0.6,0.645_0.473_0.524_0.715_0.6
lcbo_teacher_anchor_rescore_summary.csv,A9v8_stage1c_anchor_a020_b000_mrr,0.6448592570248107,0.4733598557077752,0.5240832880821947,0.7153981488509032,0.6,True,teacher_anchor,teacher_plus_broad_core_a0.20_b+0.00,patient_zscore_probability,0.2,0.0,,90.0,True,True,True,True,True,teacher_plus_broad_core_a0.20_b+0.00,lcbo_teacher_anchor_rescore_summary.csv,0.645,0.473,0.524,0.715,0.6,0.645_0.473_0.524_0.715_0.6
