config,score_name,score_variant,gamma,fusion_space,center,patient_macro_f1,patient_macro_ez_f1,patient_macro_auprc_ez,patient_macro_ez_mrr,top1_is_ez_rate,n_patients
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad,score_broad,,score,hup,0.6979569719156166,0.5103398717642044,0.5696628580913575,0.7511574074074074,0.6111111111111112,36
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad,score_broad,,score,lzu,0.573008855094594,0.46567748063889525,0.500417506233677,0.6796130952380952,0.5714285714285714,28
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad,score_broad,,score,multicenter,0.6819934713304332,0.46903170903170904,0.5200449469288825,0.6466666666666666,0.4666666666666667,15
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad,score_broad,,score,pediatric,0.5951841873154731,0.36836697928687917,0.4562113941819695,0.6130560586574666,0.5454545454545454,11
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,hup,0.6979569719156166,0.5103398717642044,0.5696628580913575,0.7511574074074074,0.6111111111111112,36
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,lzu,0.573008855094594,0.46567748063889525,0.500417506233677,0.6796130952380952,0.5714285714285714,28
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,multicenter,0.6819934713304332,0.46903170903170904,0.5200449469288825,0.6466666666666666,0.4666666666666667,15
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.00,0.0,score,pediatric,0.5951841873154731,0.36836697928687917,0.4562113941819695,0.6130560586574666,0.5454545454545454,11
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,hup,0.6979569719156166,0.5103398717642044,0.5694464092663944,0.7511574074074074,0.6111111111111112,36
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,lzu,0.573008855094594,0.46567748063889525,0.5004165643676092,0.6796130952380952,0.5714285714285714,28
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,multicenter,0.6819934713304332,0.46903170903170904,0.5177527021366377,0.6466666666666666,0.4666666666666667,15
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.02,0.02,score,pediatric,0.5951841873154731,0.36836697928687917,0.4561734804555915,0.6130560586574666,0.5454545454545454,11
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.05,0.05,score,hup,0.7006611599751968,0.5150602784453953,0.5701199657238947,0.7465277777777778,0.6111111111111112,36
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.05,0.05,score,lzu,0.574369777657396,0.4672609498474742,0.5000263434456824,0.6796130952380952,0.5714285714285714,28
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.05,0.05,score,multicenter,0.6819934713304332,0.46903170903170904,0.517591825916467,0.6411111111111112,0.4666666666666667,15
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.05,0.05,score,pediatric,0.596413586571188,0.3696296055495054,0.45872028378019875,0.6282075738089817,0.5454545454545454,11
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.10,0.1,score,hup,0.701149090124144,0.5155310882382389,0.5699270140079562,0.7326388888888888,0.5833333333333334,36
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.10,0.1,score,lzu,0.574369777657396,0.4672609498474742,0.4994041289763841,0.6766369047619047,0.5714285714285714,28
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.10,0.1,score,multicenter,0.6819934713304332,0.46903170903170904,0.5196856516790701,0.6411111111111112,0.4666666666666667,15
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.10,0.1,score,pediatric,0.5998372462448477,0.3753114237313236,0.4571592187796639,0.6282212608145387,0.5454545454545454,11
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.15,0.15,score,hup,0.701149090124144,0.5155310882382389,0.5715938173219485,0.7451388888888889,0.6111111111111112,36
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.15,0.15,score,lzu,0.574369777657396,0.4672609498474742,0.49935647208141065,0.6766369047619047,0.5714285714285714,28
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.15,0.15,score,multicenter,0.6774605042974662,0.4606983756983757,0.520324554729945,0.6377777777777778,0.4666666666666667,15
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g+0.15,0.15,score,pediatric,0.5998372462448477,0.3753114237313236,0.45720531024443467,0.6282212608145387,0.5454545454545454,11
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.05,-0.05,score,hup,0.6995352547438994,0.5128651242894569,0.5687616850049363,0.755787037037037,0.6111111111111112,36
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.05,-0.05,score,lzu,0.5717251313916092,0.4639560823338105,0.49963298096122405,0.6635416666666666,0.5357142857142857,28
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.05,-0.05,score,multicenter,0.6858732527511983,0.4756983756983757,0.5191943145186769,0.6433333333333333,0.4666666666666667,15
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.05,-0.05,score,pediatric,0.5982956591769448,0.3726959836158835,0.4552548351629698,0.605480301081709,0.5454545454545454,11
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.10,-0.1,score,hup,0.6986270116216733,0.5108106815570479,0.5670303680887229,0.755787037037037,0.6111111111111112,36
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.10,-0.1,score,lzu,0.5739277493056631,0.46692136395621286,0.5008815771629643,0.6873511904761905,0.5714285714285714,28
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.10,-0.1,score,multicenter,0.6785372501322765,0.4642698042698043,0.5051086986895331,0.601111111111111,0.4,15
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.10,-0.1,score,pediatric,0.5982956591769448,0.3726959836158835,0.45423176886925715,0.6160863616877695,0.5454545454545454,11
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.20,-0.2,score,hup,0.7004911348893312,0.5149521125935503,0.5685679541262603,0.7838293650793651,0.6666666666666666,36
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.20,-0.2,score,lzu,0.5755298916915729,0.46899434825462655,0.5014325102887095,0.6891369047619048,0.5714285714285714,28
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.20,-0.2,score,multicenter,0.6761482539932805,0.4614920264920265,0.5007689851036947,0.5977777777777777,0.4,15
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_broad_plus_gamma_core,score_broad_plus_gamma_core_g-0.20,-0.2,score,pediatric,0.5905003144250783,0.3575444684643683,0.4539762934666724,0.6108915564929643,0.5454545454545454,11
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_core,score_core,,score,hup,0.6916233377132115,0.4964604283918439,0.5590181829095141,0.765354938271605,0.6666666666666666,36
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_core,score_core,,score,lzu,0.5717942062642294,0.4652548436815619,0.4893920488006384,0.6489262371615313,0.5357142857142857,28
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_core,score_core,,score,multicenter,0.698131504206782,0.4970788470788471,0.5523157336650603,0.7102469135802469,0.6,15
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_core,score_core,,score,pediatric,0.611629808360439,0.39300512274542315,0.447639114014873,0.5659669787576764,0.45454545454545453,11
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_eval,score_eval,,score,hup,0.6989844030901067,0.5119738586923089,0.5697969229808304,0.7465277777777778,0.6111111111111112,36
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_eval,score_eval,,score,lzu,0.574369777657396,0.4672609498474742,0.5000888875465204,0.6796130952380952,0.5714285714285714,28
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_eval,score_eval,,score,multicenter,0.6819934713304332,0.46903170903170904,0.517536562031416,0.6411111111111112,0.4666666666666667,15
A9v8_LCBO_stage1b_gamma005_mrr_all90_posEZ,score_eval,score_eval,,score,pediatric,0.596413586571188,0.3696296055495054,0.45863986474769836,0.6282075738089817,0.5454545454545454,11
