fold_id,n_test_patients,center_count_string,test_loss,patient_macro_accuracy,patient_macro_balanced_accuracy,patient_macro_f1,patient_weighted_f1,patient_macro_nez_precision,patient_macro_nez_recall,patient_macro_nez_f1,patient_macro_ez_precision,patient_macro_ez_recall,patient_macro_ez_f1,patient_macro_auroc_nez,patient_macro_auprc_nez,patient_macro_auroc_ez,patient_macro_auprc_ez,patient_macro_ez_recall_at_true_count,patient_macro_ez_mrr,top1_is_ez_rate,macro_topk_recall,ez_recall_at_true_count,n_patient_rows,n_unique_subjects,centers_count_string,worst_center_f1,best_center_f1,center_gap_f1,center_hup_patient_macro_f1,center_lzu_patient_macro_f1,center_multicenter_patient_macro_f1,center_pediatric_patient_macro_f1,hard_topk_loss,pooled_accuracy,pooled_balanced_accuracy,pooled_macro_f1,pooled_weighted_f1,pooled_auroc_nez,pooled_auprc_nez,pooled_auroc_ez,pooled_auprc_ez,selection_score,strategy
1,18,"hup=9,lzu=5,multicenter=2,pediatric=2",0.6837747891743978,0.7311178259822535,0.6138205875893114,0.6138205875893114,0.7311178259822535,0.7768936551920741,0.7768936551920741,0.7768936551920741,0.45074751998654844,0.45074751998654844,0.45074751998654844,0.662231077875737,0.7927804783813,0.662231077875737,0.49985702916061325,0.45074751998654844,0.6612535612535613,0.5555555555555556,0.45074751998654844,0.45074751998654844,18.0,18.0,"hup=9,lzu=5,multicenter=2,pediatric=2",0.5480486425339366,0.6621792311110418,0.11413058857710523,0.6621792311110418,0.5541551970699753,0.5480486425339366,0.6111421130952381,0.7524981763627794,0.7523390203632361,0.6572617830016264,0.6572617830016264,0.7523390203632361,0.6066363743062658,0.7968967888400128,0.6066363743062658,0.36853383993045563,1.0131643727115291,top_true_ez_count
2,18,"hup=7,lzu=4,multicenter=7",0.6273179782761468,0.7844086123465703,0.5921649330879767,0.5921649330879767,0.7844086123465703,0.8485480432975426,0.8485480432975426,0.8485480432975426,0.33578182287841085,0.33578182287841085,0.33578182287841085,0.7207625479939506,0.8939453828960977,0.7207625479939506,0.4172831062192869,0.33578182287841085,0.6876006441223832,0.5,0.33578182287841085,0.33578182287841085,18.0,18.0,"hup=7,lzu=4,multicenter=7",0.5337684795694995,0.6210365936361253,0.08726811406662582,0.5966626745503865,0.5337684795694995,0.6210365936361253,0.0,0.746154891120063,0.7698005698005698,0.6212953150905021,0.6212953150905021,0.7698005698005698,0.6646170543695625,0.8821218659064761,0.6646170543695626,0.3345283740821313,0.9200464683842483,top_true_ez_count
3,18,"hup=11,lzu=3,multicenter=2,pediatric=2",0.6161282426781125,0.7845621622175604,0.6372056552252691,0.6372056552252691,0.7845621622175604,0.8449119551266222,0.8449119551266222,0.8449119551266222,0.42949935532391603,0.42949935532391603,0.42949935532391603,0.7445112641741737,0.893166706063046,0.7445112641741737,0.5036907859128222,0.42949935532391603,0.7045975629308963,0.6111111111111112,0.42949935532391603,0.42949935532391603,18.0,18.0,"hup=11,lzu=3,multicenter=2,pediatric=2",0.5039561094118136,0.7872756685632575,0.2833195591514439,0.6619604567989761,0.5039561094118136,0.7872756685632575,0.550858551952076,0.7372530765003629,0.7782538832351366,0.6639060983542688,0.6639060983542688,0.7782538832351366,0.6582020447279899,0.8571719653339083,0.6582020447279899,0.3713538110129486,1.0058398517858058,top_true_ez_count
4,18,"hup=2,lzu=10,multicenter=1,pediatric=5",0.6802572276857164,0.6969541139725677,0.6021496622101989,0.6021496622101989,0.6969541139725677,0.7408542187012519,0.7408542187012519,0.7408542187012519,0.4634451057191462,0.4634451057191462,0.4634451057191462,0.6505953968875137,0.7750414832465106,0.6505953968875137,0.5202413259954851,0.4634451057191462,0.6676797676797677,0.6111111111111112,0.4634451057191462,0.4634451057191462,18.0,18.0,"hup=2,lzu=10,multicenter=1,pediatric=5",0.5635904493482392,0.7644890197521776,0.20089857040393844,0.7644890197521776,0.5635904493482392,0.7589852008456659,0.5829652371902339,0.7317557136217753,0.7022689540675152,0.6495244151806443,0.6495244151806443,0.7022689540675152,0.6503687296492093,0.7879235626189137,0.6503687296492094,0.4380166163326079,1.0005657377760295,top_true_ez_count
5,18,"hup=7,lzu=6,multicenter=3,pediatric=2",0.5975428157382541,0.8033921517180403,0.7148085830391959,0.7148085830391959,0.8033921517180403,0.8490920111584102,0.8490920111584102,0.8490920111584102,0.5805251549199817,0.5805251549199817,0.5805251549199817,0.7376738108294002,0.8640796578019503,0.7376738108294002,0.6265763316706974,0.5805251549199817,0.7881115072291542,0.7222222222222222,0.5805251549199817,0.5805251549199817,18.0,18.0,"hup=7,lzu=6,multicenter=3,pediatric=2",0.618844696969697,0.8178956228956228,0.19905092592592577,0.7755944669167343,0.624336160610354,0.8178956228956228,0.618844696969697,0.7076324555608962,0.7840255591054313,0.7237558385347471,0.7237558385347471,0.7840255591054313,0.7208929720335231,0.8529128397964746,0.7208929720335229,0.5083373336463475,1.2106687552508877,top_true_ez_count
