scope,success_auprc,failure_auprc,auroc,macro_f1,weighted_f1,balanced_accuracy,accuracy,success_precision,success_recall,failure_precision,failure_recall,specificity_for_failure,brier,ece,true_failure_pred_failure,true_failure_pred_success,true_success_pred_failure,true_success_pred_success,tn,fp,fn,tp
pooled_oof,1.0,1.0,1.0,0.25,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.25095781008849133,0.17818931738535565,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0
fold_mean,1.0,1.0,1.0,0.25,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.25095781008849133,0.17818931738535565,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0
fold_std,,,,,,,,,,,,,,,,,,,,,,
