scope,success_auprc,failure_auprc,auroc,macro_f1,weighted_f1,balanced_accuracy,accuracy,success_precision,success_recall,failure_precision,failure_recall,specificity_for_failure,brier,ece,true_failure_pred_failure,true_failure_pred_success,true_success_pred_failure,true_success_pred_success,tn,fp,fn,tp
pooled_oof,0.6016513760916771,0.4741864949076062,0.5271186440677966,0.5095271700776288,0.5255200215268858,0.5114406779661017,0.5323741007194245,0.5842696629213483,0.65,0.44,0.3728813559322034,0.3728813559322034,0.2916764874734752,0.18197996371920538,22.0,37.0,28.0,52.0,22.0,37.0,28.0,52.0
fold_mean,0.6492520072643853,0.5193891631823554,0.5307274955436719,0.5088659614043246,0.5256167842631123,0.511096256684492,0.5325396825396824,0.5844169246646027,0.6509803921568628,0.4397979797979798,0.3712121212121212,0.3712121212121212,0.2912482295835681,0.23798378554394847,4.4,7.4,5.6,10.4,4.4,7.4,5.6,10.4
fold_std,0.05862671762018995,0.09982377959830933,0.09287836446439057,0.0482479517921979,0.04045722220165556,0.04798056074336807,0.04099035399560865,0.020028942514214634,0.04337438998592703,0.08220571645807777,0.06582631514008626,0.06582631514008626,0.06025522228328543,0.09914588279433927,0.8944271909999159,0.5477225575051662,0.8944271909999159,0.5477225575051661,0.8944271909999159,0.5477225575051662,0.8944271909999159,0.5477225575051661
