feature,n_valid,univariate_auroc,auroc_ci_lower,auroc_ci_upper,spearman_outcome,success_median,failure_median,used_for_selection
fragility_outside_persistent_top10,1,,,,,0.957983193277311,,False
ei_outside_persistent_top10,1,,,,,0.9563025210084034,,False
low_entropy_outside_persistent_top10,1,,,,,0.9583333333333334,,False
target_to_outside_delay_mean,1,,,,,-3.2880000000000003,,False
outside_recruited_3s_mean,1,,,,,0.07936507936507936,,False
biomarker_outside_mean_top10,1,,,,,0.943810145881091,,False
biomarker_outside_persistent_top10,1,,,,,0.943810145881091,,False
biomarker_target_alignment_mean,1,,,,,0.25905585575156775,,False
biomarker_channel_recurrence,0,,,,,,,False
outside_nez_q10,1,,,,,0.3758675158023834,,False
outside_non_nez_top10,1,,,,,0.6350419180733817,,False
joint_outside_mean_top10,1,,,,,0.5450542536006668,,False
joint_outside_persistent_top10,1,,,,,0.5450542536006668,,False
joint_high_risk_fraction_mean,1,,,,,0.09523809523809523,,False
biomarker_nez_top10_overlap,1,,,,,0.0,,False
joint_channel_recurrence,0,,,,,,,False
hfo_outside_persistent_top10,0,,,,,,,False
hfo_target_alignment,0,,,,,,,False
hfo_hub_outside_burden,0,,,,,,,False
