fold_id,n_test_patients,center_count_string,test_loss,patient_macro_accuracy,patient_macro_balanced_accuracy,patient_macro_f1,patient_weighted_f1,patient_macro_nez_precision,patient_macro_nez_recall,patient_macro_nez_f1,patient_macro_ez_precision,patient_macro_ez_recall,patient_macro_ez_f1,patient_macro_auroc_nez,patient_macro_auprc_nez,patient_macro_auroc_ez,patient_macro_auprc_ez,patient_macro_ez_recall_at_true_count,patient_macro_ez_mrr,top1_is_ez_rate,macro_topk_recall,ez_recall_at_true_count,n_patient_rows,n_unique_subjects,centers_count_string,mean_broad_bce_loss,eval_target_match_rate,eval_core_rank_loss_for_diagnostic,eval_soft_mrr_loss_for_diagnostic,eval_core_distill_loss_for_diagnostic,target_match_rate,matched_channels,total_valid_channels,sum_pseudo_core_q,n_core_positive_channels,mean_pseudo_core_q,pooled_accuracy,pooled_balanced_accuracy,pooled_macro_f1,pooled_weighted_f1,pooled_auroc_nez,pooled_auprc_nez,pooled_auroc_ez,pooled_auprc_ez,selection_score,strategy
1,18,"hup=9,lzu=5,multicenter=2,pediatric=2",0.6413192417886522,0.7443913622500875,0.62600557646234,0.62600557646234,0.7443913622500875,0.794822988341761,0.794822988341761,0.794822988341761,0.4571881645829191,0.4571881645829191,0.4571881645829191,0.686747006112828,0.822450468689158,0.686747006112828,0.512616855379278,0.4571881645829191,0.6563271604938272,0.5,0.4571881645829191,0.4571881645829191,18.0,18.0,"hup=9,lzu=5,multicenter=2,pediatric=2",0.6413192417886522,1.0,18.195204628838432,2.4984605179892645,0.23935256401697794,1.0,1817.0,1817.0,273.4660873413086,430.0,0.1505041757519585,0.7611447440836544,0.6694480307171241,0.6694480307171241,0.7611447440836544,0.6304874163746416,0.8136258956247103,0.6304874163746416,0.3724510263182742,0.62600557646234,top_true_ez_count
2,18,"hup=7,lzu=4,multicenter=7",0.6142651041348776,0.7983751623187554,0.6181352596084747,0.6181352596084747,0.7983751623187554,0.8584266208586133,0.8584266208586133,0.8584266208586133,0.3778438983583363,0.3778438983583363,0.3778438983583363,0.7326553453354226,0.8975532373421863,0.7326553453354226,0.4340142849667305,0.3778438983583363,0.5861111111111111,0.3888888888888889,0.3778438983583363,0.3778438983583363,18.0,18.0,"hup=7,lzu=4,multicenter=7",0.6142651041348776,1.0,17.555347866482204,2.3297921816507974,0.17309732155667412,1.0,1755.0,1755.0,197.61919975280762,328.0,0.1126035326226824,0.7846153846153846,0.6456673987727964,0.6456673987727964,0.7846153846153846,0.684537747619943,0.8880926741047782,0.684537747619943,0.36222500436745053,0.6181352596084747,top_true_ez_count
3,18,"hup=11,lzu=3,multicenter=2,pediatric=2",0.5741981168588003,0.804613780174981,0.6638143061425398,0.6638143061425398,0.804613780174981,0.8603610978496904,0.8603610978496904,0.8603610978496904,0.46726751443538933,0.46726751443538933,0.46726751443538933,0.7680647906264724,0.9022884794875894,0.7680647906264724,0.5309298445425867,0.46726751443538933,0.7494444444444444,0.6111111111111112,0.46726751443538933,0.46726751443538933,18.0,18.0,"hup=11,lzu=3,multicenter=2,pediatric=2",0.5741981168588003,1.0,17.45522599750095,2.255487004915873,0.2304781675338745,1.0,1867.0,1867.0,269.38615226745605,389.0,0.14428824438535406,0.7964649169791109,0.6915080129821791,0.6915080129821791,0.7964649169791109,0.7038292558205871,0.8875451113960838,0.7038292558205871,0.4171154047090443,0.6638143061425398,top_true_ez_count
4,18,"hup=2,lzu=10,multicenter=1,pediatric=5",0.6619467404153612,0.6893259867608934,0.6000598379919618,0.6000598379919618,0.6893259867608934,0.734173356521415,0.734173356521415,0.734173356521415,0.46594631946250864,0.46594631946250864,0.46594631946250864,0.6545852745674664,0.7778628291251505,0.6545852745674664,0.5089144579802922,0.46594631946250864,0.6965608465608466,0.6111111111111112,0.46594631946250864,0.46594631946250864,18.0,18.0,"hup=2,lzu=10,multicenter=1,pediatric=5",0.6619467404153612,1.0,14.986691368950737,2.560560848977831,0.3682498898771074,1.0,1807.0,1807.0,204.23152923583984,553.0,0.11302242901817368,0.6923076923076923,0.6377984662461678,0.6377984662461678,0.6923076923076923,0.6324196567367786,0.7869601474374563,0.6324196567367787,0.4178505902356725,0.6000598379919618,top_true_ez_count
5,18,"hup=7,lzu=6,multicenter=3,pediatric=2",0.5916248361269633,0.8051142531834765,0.7153059939145842,0.7153059939145842,0.8051142531834765,0.8487394185211563,0.8487394185211563,0.8487394185211563,0.581872569308012,0.581872569308012,0.581872569308012,0.7435113055018162,0.8608886144062429,0.7435113055018162,0.6407776239215336,0.581872569308012,0.7777623969484434,0.7222222222222222,0.581872569308012,0.581872569308012,18.0,18.0,"hup=7,lzu=6,multicenter=3,pediatric=2",0.5916248361269633,1.0,13.111012776692709,2.16442166434394,0.24782575170199075,1.0,1565.0,1565.0,223.09719467163086,417.0,0.1425541180010421,0.7840255591054313,0.7237558385347471,0.7237558385347471,0.7840255591054313,0.7161239649395467,0.8427816935459762,0.7161239649395467,0.5259999644166193,0.7153059939145842,top_true_ez_count
