"config","variant_family","score_variant","alpha","beta","patient_macro_f1","patient_macro_ez_f1","patient_macro_auprc_ez","patient_macro_ez_mrr","top1_is_ez_rate"
"A9v8_stage1c_anchor_a010_b-005_mrr","teacher_anchor","teacher_plus_broad_core_a0.10_b+0.20","0.1","0.2","0.6434671520417574","0.472117160451443","0.5240819256943371","0.7270140661807329","0.6222222222222222"
"A9v8_stage1c_anchor_a020_b-010_mrr","teacher_anchor","teacher_plus_broad_core_a0.10_b+0.20","0.1","0.2","0.6433847057618383","0.4722580241300603","0.5229742028928132","0.720050104216771","0.6111111111111112"
"A9v8_stage1c_anchor_a020_b-010_mrr","teacher_anchor","teacher_plus_broad_core_a0.20_b+0.05","0.2","0.05","0.6439088932388404","0.4728701575464535","0.5249519668260504","0.7190973367717552","0.6"
"A9v8_stage1c_anchor_a020_b000_mrr","teacher_anchor","teacher_plus_broad_core_a0.10_b+0.20","0.1","0.2","0.6433069286479434","0.4723527241080593","0.5227681348489074","0.7188764399181066","0.6111111111111112"
"A9v8_stage1c_anchor_a020_b000_mrr","teacher_anchor","teacher_plus_broad_core_a0.20_b-0.05","0.2","-0.05","0.6440310694955039","0.471879654612607","0.5233558887220288","0.7175475134554544","0.6111111111111112"
"A9v8_stage1c_anchor_a010_b000_mrr","teacher_anchor","teacher_plus_broad_core_a0.10_b+0.10","0.1","0.1","0.6432332472004549","0.4718336789123341","0.5224911188686564","0.7175079347355346","0.6"
"A9v8_stage1c_anchor_a020_b-010_mrr","teacher_anchor","teacher_plus_broad_core_a0.20_b+0.20","0.2","0.2","0.643263745037064","0.4723016042160132","0.5247869711066364","0.7163065715149048","0.6111111111111112"
"A9v8_stage1c_anchor_a020_b000_mrr","","","","","0.644859257","0.4733598557","0.5240832881","0.7153981489","0.6"
"A9v8_stage1c_anchor_a020_b000_mrr","teacher_anchor","teacher_plus_broad_core_a0.20_b+0.00","0.2","0.0","0.6448592570248107","0.4733598557077752","0.5240832880821947","0.7153981488509032","0.6"
"A9v8_stage1c_anchor_a020_b000_mrr","teacher_anchor","teacher_plus_broad_a0.20","0.2","","0.6448592570248107","0.4733598557077752","0.5240832880821947","0.7153981488509032","0.6"
"A9v8_stage1c_anchor_a020_b000_mrr","raw_score","score_eval","","","0.6448592570248107","0.4733598557077752","0.5240832880821947","0.7153981488509032","0.6"
