profile,center,failure_auprc,auroc,macro_f1,weighted_f1,balanced_accuracy,accuracy,failure_precision,failure_recall,specificity,brier,ece,tn,fp,fn,tp
M0_PAM,hup,0.3333333333333333,0.0,0.25,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,1.0,0.0,0.2828255119786694,0.24434224764506024,0,2,0,1
M5_LIMITED_FINETUNE,hup,1.0,1.0,0.4,0.5333333333333333,0.5,0.6666666666666666,0.0,0.0,1.0,0.2307181480053521,0.1219842632611593,2,0,1,0
