metric,estimate,ci_lower,ci_upper,repeats
accuracy,0.5,0.0,1.0,2000
balanced_accuracy,0.5,0.0,1.0,2000
macro_f1,0.3333333333333333,0.0,1.0,2000
auroc,0.5,0.0,1.0,2000
success_auprc,0.5833333333333333,0.25,1.0,2000
failure_auprc,0.75,0.25,1.0,2000
success_precision,0.5,0.0,1.0,2000
success_recall,1.0,0.0,1.0,2000
failure_precision,0.0,0.0,0.0,2000
failure_recall,0.0,0.0,0.0,2000
brier,0.25782114851681737,0.16248808936589754,0.3531542076677372,2000
ece,0.20445407927036285,0.09266561269760132,0.5942393839359283,2000
